ï»¿Room ID,Name,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates,Location
22076149,Cozy 2 rooms in a big apt near metro line,38413726,HÃ¤sselby-VÃ¤llingby,Private room,355.0,180,0,,,2,210,2020-06-26,Stockholm,Sweden,"59.35563819986627, 17.88224250958421","Sweden, Stockholm, HÃ¤sselby-VÃ¤llingby"
22114438,Simple and Nice Apartment Ãstermalm,94939323,Norrmalms,Entire home/apt,999.0,1,13,2020-05-30,1.69,2,305,2020-06-26,Stockholm,Sweden,"59.3430158663927, 18.052713075554305","Sweden, Stockholm, Norrmalms"
22234632,"Stylish attic, 400 year old house in Old Town",1027549,SÃ¶dermalms,Entire home/apt,1502.0,1,172,2020-03-12,5.85,16,328,2020-06-26,Stockholm,Sweden,"59.323065062296656, 18.07002366868766","Sweden, Stockholm, SÃ¶dermalms"
22662788,Modern apartment with amazing view,9681554,Kungsholmens,Entire home/apt,849.0,4,7,2019-10-08,0.24,1,0,2020-06-26,Stockholm,Sweden,"59.33961286973496, 18.01061762698911","Sweden, Stockholm, Kungsholmens"
22680696,Vasastans hjÃ¤rta,123831655,Norrmalms,Entire home/apt,999.0,2,17,2019-03-21,0.75,1,330,2020-06-26,Stockholm,Sweden,"59.340977447265786, 18.04963727473872","Sweden, Stockholm, Norrmalms"
23502879,NaturnÃ¤ra Radhus,175268807,HÃ¤sselby-VÃ¤llingby,Entire home/apt,5002.0,2,0,,,1,365,2020-06-26,Stockholm,Sweden,"59.366438800945886, 17.832157009470173","Sweden, Stockholm, HÃ¤sselby-VÃ¤llingby"
23599180,Family-friendly home close to beach,31491288,HÃ¤sselby-VÃ¤llingby,Entire home/apt,1493.0,3,1,2019-12-30,0.17,1,16,2020-06-26,Stockholm,Sweden,"59.3682637063846, 17.81699093585103","Sweden, Stockholm, HÃ¤sselby-VÃ¤llingby"
23604449,House from 1927 close to Sthlm city,57723940,Enskede-Ãrsta-VantÃ¶rs,Entire home/apt,2604.0,3,20,2020-01-02,0.82,1,44,2020-06-26,Stockholm,Sweden,"59.293674005425984, 18.071710451364936","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
23805153,Modern apartment 20 min from T-Central.,155067333,SkÃ¤rholmens,Entire home/apt,589.0,3,6,2020-02-18,0.38,1,0,2020-06-26,Stockholm,Sweden,"59.28669221466317, 17.922229633296805","Sweden, Stockholm, SkÃ¤rholmens"
23930933,Luxury apt in historical setting. Calm area.,41489729,Kungsholmens,Entire home/apt,1250.0,15,2,2019-08-31,0.16,1,363,2020-06-26,Stockholm,Sweden,"59.33280995897081, 18.037441551745182","Sweden, Stockholm, Kungsholmens"
24027396,Family friendly apartment in HammarbyhÃ¶jden,16900939,SkarpnÃ¤cks,Entire home/apt,505.0,1,1,2018-04-02,0.04,2,0,2020-06-26,Stockholm,Sweden,"59.29374798625868, 18.1077824041003","Sweden, Stockholm, SkarpnÃ¤cks"
24031803,Great view and 5 min to the subway,33357502,Bromma,Private room,449.0,2,17,2018-07-27,0.62,1,0,2020-06-26,Stockholm,Sweden,"59.33876259366192, 17.945393118846823","Sweden, Stockholm, Bromma"
